20250224QGVSJI,income,5149.66,2025-02-24,报销,工资
20250302GBFES7,income,5248.99,2025-03-02,娱乐,津贴
20250103S9NI4A,income,2478.95,2025-01-03,报销,工资
20250616NMMI4H,income,7935.92,2025-06-16,学习,奖金
20250316PVJVTN,income,8707.08,2025-03-16,差旅,奖金
20250716BHA3QK,income,7189.40,2025-07-16,生活费,津贴
202511260SFPKJ,income,2462.03,2025-11-26,生活费,奖金
2025071984DWXL,income,6783.78,2025-07-19,外卖,工资
20250828AQ1XZ5,income,9263.96,2025-08-28,生活费,奖金
20250704TZXR69,income,2318.04,2025-07-04,学习,津贴
202507223ZJ9G5,income,2353.98,2025-07-22,加班,津贴
20250905G5VPVH,income,1371.00,2025-09-05,学习,工资
20250911T37SRQ,income,3509.53,2025-09-11,生活费,津贴
20250116NYIGAK,income,1667.90,2025-01-16,学习,津贴
20251007JAC00H,income,5623.46,2025-10-07,生活费,奖金
20250523ZUT2H3,income,9173.07,2025-05-23,娱乐,奖金
20250226YDAH8S,income,659.00,2025-02-26,娱乐,工资
20250916J4FW6U,income,5533.10,2025-09-16,学习,工资
202501172GELZE,income,7866.05,2025-01-17,加班,津贴
202504030BCQKH,income,7622.10,2025-04-03,生活费,奖金
20250302TSDTWG,income,2414.85,2025-03-02,购物,工资
20250205O3X9DA,income,3496.79,2025-02-05,报销,奖金
202511024XLQV5,income,9854.98,2025-11-02,娱乐,奖金
20250423I4633F,income,4900.71,2025-04-23,娱乐,工资
20250106EUN0UV,income,5896.86,2025-01-06,报销,工资
20250421Q5TSQZ,income,3744.66,2025-04-21,生活费,奖金
20250707G9QLPE,income,7202.75,2025-07-07,加班,工资
20250713WU7LD9,income,8220.98,2025-07-13,购物,津贴
20251223JVMUYF,income,2092.32,2025-12-23,学习,津贴
20250116W363V4,income,3512.97,2025-01-16,补贴,工资
20250707GEHSA1,income,7148.89,2025-07-07,生活费,工资
202502077W6VIH,income,8215.80,2025-02-07,学习,工资
20250302ZJ8EXG,income,7934.00,2025-03-02,学习,奖金
202506107URPRJ,income,6397.37,2025-06-10,娱乐,奖金
202501212AED4S,income,2960.92,2025-01-21,学习,津贴
20250303ZO3HD5,income,9624.90,2025-03-03,学习,工资
20250824IR9WZ0,income,990.35,2025-08-24,补贴,工资
20250907E8ICHD,income,8374.85,2025-09-07,娱乐,奖金
20250528AV2QXV,income,5144.68,2025-05-28,补贴,津贴
202508192HVQDO,income,4379.68,2025-08-19,差旅,奖金
20250220LOCUUW,income,9973.88,2025-02-20,正常,工资
202506287XQOAS,income,5524.69,2025-06-28,差旅,津贴
202512281AY8NV,income,7099.85,2025-12-28,差旅,津贴
20251124FW8Y12,income,4806.20,2025-11-24,报销,津贴
20250915PXHCKM,income,8566.73,2025-09-15,外卖,工资
20250101T89UHF,income,9973.65,2025-01-01,外卖,奖金
20250525L8MI6Q,income,5737.45,2025-05-25,报销,工资
20250125KNYQ4G,income,7786.80,2025-01-25,补贴,津贴
20251025D240YN,income,4476.14,2025-10-25,报销,奖金
202504067P299P,income,748.00,2025-04-06,差旅,奖金
202512266BJW72,income,7307.82,2025-12-26,外卖,津贴
20250711M7293Z,income,7185.48,2025-07-11,学习,津贴
20251019BP28KB,income,7664.23,2025-10-19,正常,工资
202506125NOAWL,income,9481.30,2025-06-12,娱乐,津贴
20250918T527LY,income,9318.25,2025-09-18,生活费,奖金
20250818SOWFB7,income,4447.42,2025-08-18,娱乐,津贴
20250214LEYG1A,income,3971.22,2025-02-14,差旅,工资
20250507JJRG2I,income,3590.35,2025-05-07,购物,奖金
20251121S9EAR5,income,1592.90,2025-11-21,差旅,奖金
20250225RJMBKA,income,9748.09,2025-02-25,购物,工资
20250225R3PJ7N,income,3807.50,2025-02-25,生活费,奖金
20251001KCXME2,income,5622.90,2025-10-01,加班,津贴
2025112630ITYY,income,1176.38,2025-11-26,娱乐,津贴
20250116SWILMX,income,8247.03,2025-01-16,报销,工资
20251122T6REQF,income,3449.43,2025-11-22,差旅,工资
20250410NMC8NG,income,7990.63,2025-04-10,差旅,奖金
20251021MZVAQI,income,1513.95,2025-10-21,差旅,奖金
2025012060V5O4,income,5116.99,2025-01-20,正常,津贴
202512084RL4WP,income,7904.36,2025-12-08,娱乐,奖金
2025021789WQ44,income,9934.46,2025-02-17,购物,津贴
20251221DIXERR,income,9894.76,2025-12-21,外卖,津贴
20250128RJ1WX1,income,7661.41,2025-01-28,外卖,奖金
20250304ERGZ8N,income,9133.24,2025-03-04,正常,津贴
20250220MJCY4Z,income,5168.79,2025-02-20,购物,工资
20250809KJTQ83,income,6453.16,2025-08-09,购物,奖金
202505282FT7EE,income,515.01,2025-05-28,学习,工资
2025051987F1G6,income,3955.38,2025-05-19,补贴,津贴
20250722TPPN1T,income,5031.00,2025-07-22,购物,奖金
20251021DWCYL0,income,6230.71,2025-10-21,加班,津贴
20250808DSRDE2,income,9469.72,2025-08-08,娱乐,工资
20250625KRYIYM,income,2560.86,2025-06-25,正常,工资
20250915HPVYZW,income,8823.66,2025-09-15,学习,奖金
20251126ZFDU2Q,income,7524.41,2025-11-26,加班,奖金
202503138068ML,income,6886.84,2025-03-13,购物,工资
20250714LY7B0N,income,217.18,2025-07-14,报销,工资
20251225G42VLF,income,3826.17,2025-12-25,补贴,工资
20250520A7CULF,income,3074.23,2025-05-20,加班,奖金
20250901W3OPF1,income,8785.76,2025-09-01,差旅,奖金
20250727NSGJO5,income,1024.34,2025-07-27,学习,奖金
20250928WV1ZB5,income,8896.56,2025-09-28,生活费,奖金
2025092592E8RK,income,7086.72,2025-09-25,加班,奖金
20250210C14A8Q,income,5199.37,2025-02-10,购物,奖金
202507284A7XOI,income,4623.90,2025-07-28,学习,工资
20250922B3D5Z7,income,4180.59,2025-09-22,加班,工资
20251212IUBAMO,income,5136.21,2025-12-12,学习,奖金
20250926YI9OTR,income,6726.24,2025-09-26,生活费,津贴
20250718QJDOVE,income,8941.27,2025-07-18,外卖,奖金
20250910ETAUWR,income,2508.58,2025-09-10,补贴,津贴
20250728T4HP22,income,2537.14,2025-07-28,加班,奖金
20251123C770QR,income,218.74,2025-11-23,外卖,工资
20250321QUHS8H,income,9127.18,2025-03-21,生活费,工资
20251222JKIHRX,income,5104.39,2025-12-22,学习,工资
20250928IIBAZY,income,551.40,2025-09-28,购物,奖金
20251002ETFJB9,income,8487.35,2025-10-02,购物,工资
20251125HEZLK8,income,4631.21,2025-11-25,娱乐,工资
20250907SANLLK,income,6608.60,2025-09-07,娱乐,工资
2025042110V779,income,3006.14,2025-04-21,报销,奖金
202502105ODFC9,income,9187.81,2025-02-10,补贴,津贴
20251224IVJ71C,income,6495.81,2025-12-24,差旅,津贴
20250315D6VJ35,income,2425.63,2025-03-15,差旅,津贴
20250701ZFBJZY,income,3248.24,2025-07-01,娱乐,工资
20250809F4F88L,income,3215.98,2025-08-09,正常,津贴
202501173Z8ZE9,income,7261.87,2025-01-17,正常,奖金
20250405TW348X,income,4896.13,2025-04-05,加班,奖金
20251108VK9RQ5,income,6708.99,2025-11-08,差旅,奖金
20250324C8KC0L,income,6677.46,2025-03-24,补贴,津贴
20251109JQXB36,income,4295.51,2025-11-09,生活费,奖金
202507277EZABX,income,132.40,2025-07-27,购物,津贴
20250221XS0JFZ,income,2769.56,2025-02-21,娱乐,工资
2025100372CVAR,income,8394.67,2025-10-03,正常,奖金
20250204R2D4LW,income,4622.32,2025-02-04,正常,工资
202507173UY171,income,9454.86,2025-07-17,差旅,奖金
202504245XHYHX,income,3203.85,2025-04-24,报销,工资
20250609Q2KHCB,income,3964.16,2025-06-09,学习,工资
202503113R9M6J,income,1438.99,2025-03-11,加班,奖金
20250218JPPGS8,income,7235.88,2025-02-18,报销,奖金
202502245FHKTA,income,2115.36,2025-02-24,报销,奖金
202506025D3XTW,income,7475.95,2025-06-02,购物,津贴
202505020MWD0R,income,8427.76,2025-05-02,娱乐,奖金
20251109OZ9DAA,income,943.64,2025-11-09,报销,津贴
20251009Y2IEAS,income,7186.24,2025-10-09,娱乐,津贴
20250811V30QTA,income,3283.99,2025-08-11,补贴,工资
20250914TRT1PH,income,4644.25,2025-09-14,生活费,奖金
20250915GOWXEV,income,8074.04,2025-09-15,加班,奖金
2025061876E16T,income,9532.35,2025-06-18,差旅,奖金
20250726ON2YPH,income,3543.84,2025-07-26,加班,津贴
2025062704PV7W,income,1506.36,2025-06-27,外卖,奖金
202510105UL635,income,2165.73,2025-10-10,加班,津贴
20250119QQDDLE,income,8104.22,2025-01-19,加班,工资
20250426GU08OP,income,2566.02,2025-04-26,报销,津贴
20251006HKI69C,income,8376.80,2025-10-06,报销,津贴
20250207P6XSST,income,1372.78,2025-02-07,娱乐,奖金
202502148FWI9W,income,9221.77,2025-02-14,加班,工资
20250908R26ACG,income,1072.39,2025-09-08,加班,工资
202507064GLLQG,income,4227.96,2025-07-06,补贴,工资
